RegionID,UserSegment,Device,UserTenure,Promotion,week,SessionDuration
1,New,smartphone,4,embedded,1,33.73
1,New,smartphone,4,embedded,2,35.67
1,New,smartphone,4,embedded,3,29.03
1,New,smartphone,4,embedded,4,39.25
1,New,smartphone,5,banner,1,20.023200000000003
1,New,smartphone,5,banner,2,24.962400000000002
1,New,smartphone,5,banner,3,20.1456
1,New,smartphone,5,banner,4,19.9584
1,New,smartphone,12,pop-up,1,63.6922
1,New,smartphone,12,pop-up,2,54.254200000000004
1,New,smartphone,12,pop-up,3,65.05070000000002
1,New,smartphone,12,pop-up,4,49.6925
1,New,smartphone,1,banner,1,28.281600000000005
1,New,smartphone,1,banner,2,28.656000000000002
1,New,smartphone,1,banner,3,17.8344
1,New,smartphone,1,banner,4,22.305600000000002
1,New,smartphone,10,banner,1,21.8664
1,New,smartphone,10,banner,2,17.8704
1,New,smartphone,10,banner,3,26.9784
1,New,smartphone,10,banner,4,16.812
1,New,smartphone,10,embedded,1,32.9
1,New,smartphone,10,embedded,2,22.18
1,New,smartphone,10,embedded,3,42.98
1,New,smartphone,10,embedded,4,26.68
1,New,smartphone,15,pop-up,1,61.375600000000006
1,New,smartphone,15,pop-up,2,60.2888
1,New,smartphone,15,pop-up,3,73.95960000000001
1,New,smartphone,15,pop-up,4,51.72310000000001
1,New,smartphone,10,banner,1,21.657600000000002
1,New,smartphone,10,banner,2,20.606400000000004
1,New,smartphone,10,banner,3,18.288
1,New,smartphone,10,banner,4,19.627200000000002
1,New,smartphone,6,pop-up,1,53.496300000000005
1,New,smartphone,6,pop-up,2,55.25520000000001
1,New,smartphone,6,pop-up,3,58.487
1,New,smartphone,6,pop-up,4,58.787299999999995
1,New,smartphone,5,banner,1,24.674400000000006
1,New,smartphone,5,banner,2,21.096000000000004
1,New,smartphone,5,banner,3,17.2296
1,New,smartphone,5,banner,4,25.3152
1,New,smartphone,5,embedded,1,33.42
1,New,smartphone,5,embedded,2,37.93
1,New,smartphone,5,embedded,3,33.85
1,New,smartphone,5,embedded,4,40.25
1,New,smartphone,12,pop-up,1,51.2655
1,New,smartphone,12,pop-up,2,51.8232
1,New,smartphone,12,pop-up,3,59.6739
1,New,smartphone,12,pop-up,4,53.36760000000001
1,New,smartphone,12,pop-up,1,72.1864
1,New,smartphone,12,pop-up,2,52.738400000000006
1,New,smartphone,12,pop-up,3,51.022400000000005
1,New,smartphone,12,pop-up,4,66.4235
2,Dormant,smartphone,22,pop-up,1,85.02480000000001
2,Dormant,smartphone,22,pop-up,2,82.6182
2,Dormant,smartphone,22,pop-up,3,86.20920000000001
2,Dormant,smartphone,22,pop-up,4,76.7718
2,Dormant,smartphone,8,embedded,1,74.52390000000001
2,Dormant,smartphone,8,embedded,2,77.00440000000002
2,Dormant,smartphone,8,embedded,3,66.1628
2,Dormant,smartphone,8,embedded,4,74.10040000000001
2,Dormant,smartphone,22,embedded,1,76.1453
2,Dormant,smartphone,22,embedded,2,71.11170000000001
2,Dormant,smartphone,22,embedded,3,85.426
2,Dormant,smartphone,22,embedded,4,78.72260000000001
2,Dormant,smartphone,19,embedded,1,72.30960000000002
2,Dormant,smartphone,19,embedded,2,79.99310000000001
2,Dormant,smartphone,19,embedded,3,75.21360000000001
2,Dormant,smartphone,19,embedded,4,77.48840000000003
2,Dormant,smartphone,8,embedded,1,72.17650000000002
2,Dormant,smartphone,8,embedded,2,69.01840000000001
2,Dormant,smartphone,8,embedded,3,72.2733
2,Dormant,smartphone,8,embedded,4,68.6312
2,Dormant,smartphone,5,embedded,1,70.8455
2,Dormant,smartphone,5,embedded,2,75.24990000000001
2,Dormant,smartphone,5,embedded,3,64.29940000000002
2,Dormant,smartphone,5,embedded,4,75.34670000000003
3,Active,smartphone,4,embedded,1,144.71519999999998
3,Active,smartphone,4,embedded,2,138.7008
3,Active,smartphone,4,embedded,3,133.32479999999998
3,Active,smartphone,4,embedded,4,129.6456
3,Active,smartphone,8,pop-up,1,97.60300000000001
3,Active,smartphone,8,pop-up,2,93.731
3,Active,smartphone,8,pop-up,3,89.705
3,Active,smartphone,8,pop-up,4,103.587
3,Active,smartphone,12,embedded,1,150.696
3,Active,smartphone,12,embedded,2,131.76239999999999
3,Active,smartphone,12,embedded,3,141.20399999999998
3,Active,smartphone,12,embedded,4,136.3824
3,Active,smartphone,1,banner,1,62.949600000000004
3,Active,smartphone,1,banner,2,58.8888
3,Active,smartphone,1,banner,3,63.44640000000001
3,Active,smartphone,1,banner,4,54.208800000000004
3,Active,smartphone,19,embedded,1,139.47359999999998
3,Active,smartphone,19,embedded,2,151.70399999999998
3,Active,smartphone,19,embedded,3,143.1024
3,Active,smartphone,19,embedded,4,150.8136
3,Active,smartphone,11,embedded,1,138.8352
3,Active,smartphone,11,embedded,2,139.2552
3,Active,smartphone,11,embedded,3,137.9784
3,Active,smartphone,11,embedded,4,149.3688
3,Active,smartphone,1,embedded,1,147.33599999999998
